公司,年份,报告类型,env_density,vague_sent_ratio,quant_sent_ratio,has_investment,positive_intensity,evidence_per_page,总字符数,总句子数
浙江龙盛,2017,年报,1.9707,0.374,0.0909,1,0.2356,41.3834,186737,8219
浙江龙盛,2018,CSR,13.7349,0.2982,0.1711,0,1.5424,15.3704,13615,684
浙江龙盛,2018,年报,2.1172,0.4195,0.1106,1,0.2014,41.0982,193655,8179
浙江龙盛,2019,CSR,12.544,0.3052,0.186,0,2.2007,16.5556,13632,688
浙江龙盛,2019,年报,2.2865,0.4087,0.1011,1,0.3776,42.2506,193309,8218
浙江龙盛,2020,CSR,11.2297,0.2008,0.0976,0,2.7202,8.6897,14337,717
浙江龙盛,2020,年报,2.5193,0.408,0.0972,0,0.3267,42.2521,180608,7260
浙江龙盛,2021,CSR,10.385,0.2009,0.1012,0,2.19,8.5,14155,682
浙江龙盛,2021,年报,3.1449,0.3877,0.091,0,0.3428,42.3896,201276,8560
浙江龙盛,2022,CSR,12.1676,0.2388,0.1531,0,2.2606,11.4333,15040,712
浙江龙盛,2022,年报,2.459,0.4112,0.0981,1,0.3827,43.4904,209029,8977
浙江龙盛,2023,CSR,12.1676,0.2388,0.1531,0,2.2606,11.4333,15040,712
浙江龙盛,2023,年报,2.5478,0.4001,0.1044,1,0.3768,42.3294,212342,8915
